Lieu de surveillance : Entité de classement;Lieu de surveillance : Entité de classement : Identifiant;Lieu de surveillance : Entité de classement : Rang du lieu;Lieu de surveillance : Entité de classement : Libellé;Lieu de surveillance : Mnémonique;Lieu de surveillance : Libellé;Coordonnées passage : Coordonnées minx;Coordonnées passage : Coordonnées maxx;Coordonnées passage : Coordonnées miny;Coordonnées passage : Coordonnées maxy;Coordonnées passage : Coordonnées redéfinies;Passage : Date;Passage : Jour;Passage : Mois;Passage : Année;Echantillon : Identifiant interne;Echantillon : Libellé du taxon support;Résultat : Code paramètre;Résultat : Libellé fraction;Résultat : Libellé méthode;Résultat : Libellé précision;Résultat : Valeur de la mesure;Résultat : Valeur qualitative;Résultat : Symbole unité de mesure associé au quintuplet;Résultat : Libellé unité de mesure associé au quintuplet;Résultat : Commentaires;Résultat : Identifiant
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;26/05/2004;26;05;2004;5281293;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;1449369
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;15/04/2008;15;04;2008;5380212;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;;1.1;;mg.kg-1;Milligramme par kilogramme;;1804104
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;22/04/2008;22;04;2008;60034460;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;;13.7;;mg.kg-1;Milligramme par kilogramme;;60053960
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;14/04/2009;14;04;2009;60034463;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;0.5;;mg.kg-1;Milligramme par kilogramme;;60053963
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;22/04/2009;22;04;2009;60034464;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;;2.6;;mg.kg-1;Milligramme par kilogramme;;60053964
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;22/03/2010;22;03;2010;60160368;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;61755512
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;31/03/2010;31;03;2010;60160369;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;;2.6;;mg.kg-1;Milligramme par kilogramme;;61755516
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;01/06/2010;01;06;2010;60160441;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;61755786
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;17/06/2010;17;06;2010;60160440;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;61755785
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;29/06/2010;29;06;2010;60160442;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;61755787
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;11/05/2011;11;05;2011;60280878;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;0.15;;mg.kg-1;Milligramme par kilogramme;;63100676
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;20/05/2014;20;05;2014;60531725;Mytilus edulis;ASP;Chair totale égouttée;CL/UV toxines amnésiantes;< valeur;1.0;;mg.kg-1;Milligramme par kilogramme;;65138920
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;03/06/2014;03;06;2014;60618669;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;66133953
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;01/06/2015;01;06;2015;60577361;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;< valeur;1.0;;mg.kg-1;Milligramme par kilogramme;;65689580
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;31/05/2016;31;05;2016;60641345;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;;1.2;;mg.kg-1;Milligramme par kilogramme;;66533611
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;15/05/2017;15;05;2017;60681710;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;67488144
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.011722;2.011722;51.003667;51.003667;1;14/06/2018;14;06;2018;60742167;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;69482266
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.016;2.016;51.011;51.011;1;08/04/2019;08;04;2019;60805065;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;70221859
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.016;2.016;51.01;51.01;1;24/04/2019;24;04;2019;60806277;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;70236007
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;02/05/2019;02;05;2019;60807090;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;70247995
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;14/05/2019;14;05;2019;60808272;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;70265181
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.003;2.003;51.0167;51.0167;1;21/05/2019;21;05;2019;60808233;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;70264941
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.0181;2.0181;51.01;51.01;1;05/06/2019;05;06;2019;60809431;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;70282324
Zones marines;001;22;001 - Frontière belge - Cap Gris Nez;001-P-022;Oye plage;2.00455;2.00455;51.002767;51.002767;0;20/06/2019;20;06;2019;60842109;Mytilus edulis;ASP;Chair totale égouttée;ANSES LNRBM-ASP 01;Inf. LQ;1.0;;mg.kg-1;Milligramme par kilogramme;;70370874
