Lieu de surveillance : Entité de classement;Lieu de surveillance : Entité de classement : Identifiant;Lieu de surveillance : Entité de classement : Rang du lieu;Lieu de surveillance : Entité de classement : Libellé;Lieu de surveillance : Mnémonique;Lieu de surveillance : Libellé;Coordonnées passage : Coordonnées minx;Coordonnées passage : Coordonnées maxx;Coordonnées passage : Coordonnées miny;Coordonnées passage : Coordonnées maxy;Coordonnées passage : Coordonnées redéfinies;Passage : Date;Passage : Jour;Passage : Mois;Passage : Année;Echantillon : Identifiant interne;Echantillon : Libellé du taxon support;Résultat : Code paramètre;Résultat : Libellé fraction;Résultat : Libellé méthode;Résultat : Libellé précision;Résultat : Valeur de la mesure;Résultat : Valeur qualitative;Résultat : Symbole unité de mesure associé au quintuplet;Résultat : Libellé unité de mesure associé au quintuplet;Résultat : Commentaires;Résultat : Identifiant
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;17/04/2003;17;04;2003;5270860;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1415221
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;06/05/2003;06;05;2003;5270867;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1415230
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;01/10/2003;01;10;2003;5270870;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1415237
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;06/10/2003;06;10;2003;5270873;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1415255
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;14/10/2003;14;10;2003;5270875;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1415263
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;22/10/2003;22;10;2003;5270878;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;350;;µg.kg-1;Microgramme par kilogramme;;1415280
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;27/10/2003;27;10;2003;5270893;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1415305
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;30/10/2003;30;10;2003;5270914;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1415336
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;05/11/2003;05;11;2003;5270927;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1415343
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;18/11/2003;18;11;2003;5270928;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1455939
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;16/03/2004;16;03;2004;5283435;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1455898
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;29/03/2004;29;03;2004;5283442;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1455919
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;13/04/2004;13;04;2004;5283443;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1455926
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;26/04/2004;26;04;2004;5283444;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1455933
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;04/10/2004;04;10;2004;5290759;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1486338
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;11/10/2004;11;10;2004;5290760;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1486345
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;19/10/2004;19;10;2004;5290761;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1486352
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;02/11/2004;02;11;2004;5290763;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1486363
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;07/11/2004;07;11;2004;5290764;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1486393
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;08/11/2004;08;11;2004;5291195;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1489474
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;19/09/2006;19;09;2006;5352894;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1704208
Zones marines;003;20;003 - Manche Nord Est - large;003-P-020;Extérieur gisement baie de Seine;-0.668023749;-0.668023749;49.665742703;49.665742703;0;20/09/2006;20;09;2006;5352895;Pecten maximus;TOXPSP;Chair totale égouttée;Test souris PSP / quantification en équ. STX;< valeur;332.50;;µg.kg-1;Microgramme par kilogramme;;1704278
